Layer1	Layer2	CKA_Value
spatio_temporal	spatio_temporal	0.9786765823429435
spatio_temporal	pool	0.036380317680786166
spatio_temporal	dropout	0.036380317680786166
spatio_temporal	batch_norm	0.9484060908035419
spatio_temporal	fc	0.019104942006376007
pool	spatio_temporal	0.036677712237642525
pool	pool	0.9941927276858998
pool	dropout	0.9941927276858998
pool	batch_norm	0.21242759224144123
pool	fc	0.5807788371265846
dropout	spatio_temporal	0.036677712237642525
dropout	pool	0.9941927276858998
dropout	dropout	0.9941927276858998
dropout	batch_norm	0.21242759224144123
dropout	fc	0.5807788371265846
batch_norm	spatio_temporal	0.932449683611664
batch_norm	pool	0.20640641375018431
batch_norm	dropout	0.20640641375018431
batch_norm	batch_norm	0.9791492863280074
batch_norm	fc	0.11564071156362062
fc	spatio_temporal	0.018710066969637028
fc	pool	0.5397639038291714
fc	dropout	0.5397639038291714
fc	batch_norm	0.11161830853774697
fc	fc	0.968886629918824
spatio_temporal	spatio_temporal	0.9807809302559486
spatio_temporal	pool	0.03588387768436592
spatio_temporal	dropout	0.03588387768436592
spatio_temporal	batch_norm	0.9493535592659842
spatio_temporal	fc	0.019072413794571957
pool	spatio_temporal	0.03509526575232668
pool	pool	0.9937274306288865
pool	dropout	0.9937274306288865
pool	batch_norm	0.2161743929052288
pool	fc	0.5752063218093928
dropout	spatio_temporal	0.03509526575232668
dropout	pool	0.9937274306288865
dropout	dropout	0.9937274306288865
dropout	batch_norm	0.2161743929052288
dropout	fc	0.5752063218093928
batch_norm	spatio_temporal	0.9344221498967094
batch_norm	pool	0.20577295204908447
batch_norm	dropout	0.20577295204908447
batch_norm	batch_norm	0.9781927696424488
batch_norm	fc	0.1147521780214307
fc	spatio_temporal	0.018645353938819775
fc	pool	0.5426169413296063
fc	dropout	0.5426169413296063
fc	batch_norm	0.11415045966687089
fc	fc	0.9676907641853604
spatio_temporal	spatio_temporal	0.9837455465543469
spatio_temporal	pool	0.0360938795457415
spatio_temporal	dropout	0.0360938795457415
spatio_temporal	batch_norm	0.9502365109680625
spatio_temporal	fc	0.018737574668238458
pool	spatio_temporal	0.0366077627547777
pool	pool	0.9943611470225644
pool	dropout	0.9943611470225644
pool	batch_norm	0.21340625107625272
pool	fc	0.5695465006301754
dropout	spatio_temporal	0.0366077627547777
dropout	pool	0.9943611470225644
dropout	dropout	0.9943611470225644
dropout	batch_norm	0.21340625107625272
dropout	fc	0.5695465006301754
batch_norm	spatio_temporal	0.9360458880955262
batch_norm	pool	0.2060013888070705
batch_norm	dropout	0.2060013888070705
batch_norm	batch_norm	0.9782563472635667
batch_norm	fc	0.11335051968884094
fc	spatio_temporal	0.018926624179582716
fc	pool	0.5422299733985856
fc	dropout	0.5422299733985856
fc	batch_norm	0.11267799059063145
fc	fc	0.9707002897522597
spatio_temporal	spatio_temporal	0.9872219380266748
spatio_temporal	pool	0.03646973854650546
spatio_temporal	dropout	0.03646973854650546
spatio_temporal	batch_norm	0.9484291438095
spatio_temporal	fc	0.01900702026589653
pool	spatio_temporal	0.03638973293704877
pool	pool	0.9946031945675212
pool	dropout	0.9946031945675212
pool	batch_norm	0.21215950129358158
pool	fc	0.56996742282916
dropout	spatio_temporal	0.03638973293704877
dropout	pool	0.9946031945675212
dropout	dropout	0.9946031945675212
dropout	batch_norm	0.21215950129358158
dropout	fc	0.56996742282916
batch_norm	spatio_temporal	0.9419283037602972
batch_norm	pool	0.20648051980339352
batch_norm	dropout	0.20648051980339352
batch_norm	batch_norm	0.9801873794789812
batch_norm	fc	0.11355546788131649
fc	spatio_temporal	0.019029363876807915
fc	pool	0.5410640120150123
fc	dropout	0.5410640120150123
fc	batch_norm	0.11179915840984404
fc	fc	0.9690554242077662
spatio_temporal	spatio_temporal	0.9852213905287802
spatio_temporal	pool	0.03663211146008305
spatio_temporal	dropout	0.03663211146008305
spatio_temporal	batch_norm	0.948107855537426
spatio_temporal	fc	0.0186822910024283
pool	spatio_temporal	0.0363304860593306
pool	pool	0.992735806296023
pool	dropout	0.992735806296023
pool	batch_norm	0.20802619260294614
pool	fc	0.5646304250540143
dropout	spatio_temporal	0.0363304860593306
dropout	pool	0.992735806296023
dropout	dropout	0.992735806296023
dropout	batch_norm	0.20802619260294614
dropout	fc	0.5646304250540143
batch_norm	spatio_temporal	0.9341116344573136
batch_norm	pool	0.20638995824218506
batch_norm	dropout	0.20638995824218506
batch_norm	batch_norm	0.9794596776990006
batch_norm	fc	0.11243437043497569
fc	spatio_temporal	0.018660383036108757
fc	pool	0.545261028865781
fc	dropout	0.545261028865781
fc	batch_norm	0.11005523837891841
fc	fc	0.9693770223708938
spatio_temporal	spatio_temporal	0.9843430491748054
spatio_temporal	pool	0.03677372855294749
spatio_temporal	dropout	0.03677372855294749
spatio_temporal	batch_norm	0.9500708342521069
spatio_temporal	fc	0.01862346956095623
pool	spatio_temporal	0.0369373231920815
pool	pool	0.9940203392726071
pool	dropout	0.9940203392726071
pool	batch_norm	0.21087143012376827
pool	fc	0.5852545174090582
dropout	spatio_temporal	0.0369373231920815
dropout	pool	0.9940203392726071
dropout	dropout	0.9940203392726071
dropout	batch_norm	0.21087143012376827
dropout	fc	0.5852545174090582
batch_norm	spatio_temporal	0.934902316112406
batch_norm	pool	0.20650448748314557
batch_norm	dropout	0.20650448748314557
batch_norm	batch_norm	0.9794511776770318
batch_norm	fc	0.11581716869920293
fc	spatio_temporal	0.018972170455065503
fc	pool	0.5449354780721307
fc	dropout	0.5449354780721307
fc	batch_norm	0.11167894672372548
fc	fc	0.9668872620668582
spatio_temporal	spatio_temporal	0.986179196583448
spatio_temporal	pool	0.036769109522149644
spatio_temporal	dropout	0.036769109522149644
spatio_temporal	batch_norm	0.9449746011597009
spatio_temporal	fc	0.018552188565519438
pool	spatio_temporal	0.03708866921367767
pool	pool	0.9944308690671257
pool	dropout	0.9944308690671257
pool	batch_norm	0.21119339101578674
pool	fc	0.5764448161161019
dropout	spatio_temporal	0.03708866921367767
dropout	pool	0.9944308690671257
dropout	dropout	0.9944308690671257
dropout	batch_norm	0.21119339101578674
dropout	fc	0.5764448161161019
batch_norm	spatio_temporal	0.9423097694155053
batch_norm	pool	0.20661951311247298
batch_norm	dropout	0.20661951311247298
batch_norm	batch_norm	0.9808586446919272
batch_norm	fc	0.11423586931152482
fc	spatio_temporal	0.018957062579834802
fc	pool	0.5490034434739032
fc	dropout	0.5490034434739032
fc	batch_norm	0.11239363336951547
fc	fc	0.9667626953180184
spatio_temporal	spatio_temporal	0.9834530896398648
spatio_temporal	pool	0.036048095679043136
spatio_temporal	dropout	0.036048095679043136
spatio_temporal	batch_norm	0.9482766948776716
spatio_temporal	fc	0.018570732436478596
pool	spatio_temporal	0.0362847537779289
pool	pool	0.9940061514073684
pool	dropout	0.9940061514073684
pool	batch_norm	0.21961910429289175
pool	fc	0.562492207891601
dropout	spatio_temporal	0.0362847537779289
dropout	pool	0.9940061514073684
dropout	dropout	0.9940061514073684
dropout	batch_norm	0.21961910429289175
dropout	fc	0.562492207891601
batch_norm	spatio_temporal	0.935293799630879
batch_norm	pool	0.20578920878049298
batch_norm	dropout	0.20578920878049298
batch_norm	batch_norm	0.9805268729056504
batch_norm	fc	0.11196247691498837
fc	spatio_temporal	0.018757447743508782
fc	pool	0.5444029876436627
fc	dropout	0.5444029876436627
fc	batch_norm	0.11598787410050751
fc	fc	0.9670686853058347
spatio_temporal	spatio_temporal	0.9835257649027698
spatio_temporal	pool	0.03669352216943058
spatio_temporal	dropout	0.03669352216943058
spatio_temporal	batch_norm	0.9471280122003803
spatio_temporal	fc	0.019283662555267166
pool	spatio_temporal	0.03779477285040659
pool	pool	0.9937149227375346
pool	dropout	0.9937149227375346
pool	batch_norm	0.21590907114283445
pool	fc	0.5809476165157462
dropout	spatio_temporal	0.03779477285040659
dropout	pool	0.9937149227375346
dropout	dropout	0.9937149227375346
dropout	batch_norm	0.21590907114283445
dropout	fc	0.5809476165157462
batch_norm	spatio_temporal	0.9400838527078615
batch_norm	pool	0.20657086089303947
batch_norm	dropout	0.20657086089303947
batch_norm	batch_norm	0.9799598584247021
batch_norm	fc	0.11586658659348847
fc	spatio_temporal	0.019253747471185384
fc	pool	0.5363525863226171
fc	dropout	0.5363525863226171
fc	batch_norm	0.1125427447870656
fc	fc	0.9671638240511445
spatio_temporal	spatio_temporal	0.9835525666722226
spatio_temporal	pool	0.03548233457054405
spatio_temporal	dropout	0.03548233457054405
spatio_temporal	batch_norm	0.9411413484667418
spatio_temporal	fc	0.01862028897187434
pool	spatio_temporal	0.034344377229446735
pool	pool	0.9945258534648308
pool	dropout	0.9945258534648308
pool	batch_norm	0.2156285816142024
pool	fc	0.5688482480173412
dropout	spatio_temporal	0.034344377229446735
dropout	pool	0.9945258534648308
dropout	dropout	0.9945258534648308
dropout	batch_norm	0.2156285816142024
dropout	fc	0.5688482480173412
batch_norm	spatio_temporal	0.941927347628235
batch_norm	pool	0.21122579207934322
batch_norm	dropout	0.21122579207934322
batch_norm	batch_norm	0.9803614098933665
batch_norm	fc	0.11665448914314767
fc	spatio_temporal	0.018489964359849835
fc	pool	0.577885973068572
fc	dropout	0.577885973068572
fc	batch_norm	0.1204197051649799
fc	fc	0.9752581190108338
spatio_temporal	spatio_temporal	0.9827434259896478
spatio_temporal	pool	0.035685840876859824
spatio_temporal	dropout	0.035685840876859824
spatio_temporal	batch_norm	0.939585253270287
spatio_temporal	fc	0.018283268982186247
pool	spatio_temporal	0.035865530030265276
pool	pool	0.9953469728957414
pool	dropout	0.9953469728957414
pool	batch_norm	0.21289285346311818
pool	fc	0.5626935629223574
dropout	spatio_temporal	0.035865530030265276
dropout	pool	0.9953469728957414
dropout	dropout	0.9953469728957414
dropout	batch_norm	0.21289285346311818
dropout	fc	0.5626935629223574
batch_norm	spatio_temporal	0.9421819449304029
batch_norm	pool	0.21150015463410868
batch_norm	dropout	0.21150015463410868
batch_norm	batch_norm	0.9816151264212993
batch_norm	fc	0.11516659255578428
fc	spatio_temporal	0.0189059237318998
fc	pool	0.5777387876415488
fc	dropout	0.5777387876415488
fc	batch_norm	0.11893241325664995
fc	fc	0.9765949327176981
spatio_temporal	spatio_temporal	0.9780880785043563
spatio_temporal	pool	0.03603729958301816
spatio_temporal	dropout	0.03603729958301816
spatio_temporal	batch_norm	0.9353867255387779
spatio_temporal	fc	0.018532451618080748
pool	spatio_temporal	0.03565337075155108
pool	pool	0.9951847778985607
pool	dropout	0.9951847778985607
pool	batch_norm	0.21162134315886597
pool	fc	0.5630274143932233
dropout	spatio_temporal	0.03565337075155108
dropout	pool	0.9951847778985607
dropout	dropout	0.9951847778985607
dropout	batch_norm	0.21162134315886597
dropout	fc	0.5630274143932233
batch_norm	spatio_temporal	0.9453114783715935
batch_norm	pool	0.21194787236194784
batch_norm	dropout	0.21194787236194784
batch_norm	batch_norm	0.9821137265956168
batch_norm	fc	0.1154000912970116
fc	spatio_temporal	0.01889470941392166
fc	pool	0.5756041903717962
fc	dropout	0.5756041903717962
fc	batch_norm	0.11777336335439416
fc	fc	0.9753983348646749
spatio_temporal	spatio_temporal	0.9818598175923593
spatio_temporal	pool	0.03620693983289143
spatio_temporal	dropout	0.03620693983289143
spatio_temporal	batch_norm	0.9354520081436667
spatio_temporal	fc	0.018179564895711754
pool	spatio_temporal	0.03561375382040476
pool	pool	0.9942399284105365
pool	dropout	0.9942399284105365
pool	batch_norm	0.20746897028574027
pool	fc	0.5570596809002729
dropout	spatio_temporal	0.03561375382040476
dropout	pool	0.9942399284105365
dropout	dropout	0.9942399284105365
dropout	batch_norm	0.20746897028574027
dropout	fc	0.5570596809002729
batch_norm	spatio_temporal	0.9380406321019631
batch_norm	pool	0.21182479219866857
batch_norm	dropout	0.21182479219866857
batch_norm	batch_norm	0.9787237284402692
batch_norm	fc	0.1140426012045106
fc	spatio_temporal	0.018542365017482788
fc	pool	0.5804767016117856
fc	dropout	0.5804767016117856
fc	batch_norm	0.11591828773195621
fc	fc	0.9741806733382042
spatio_temporal	spatio_temporal	0.9842061903322175
spatio_temporal	pool	0.03631421503978057
spatio_temporal	dropout	0.03631421503978057
spatio_temporal	batch_norm	0.9359693472363206
spatio_temporal	fc	0.018156721682399467
pool	spatio_temporal	0.03619286267974687
pool	pool	0.994002473706664
pool	dropout	0.994002473706664
pool	batch_norm	0.21019032638770865
pool	fc	0.5787652416665444
dropout	spatio_temporal	0.03619286267974687
dropout	pool	0.994002473706664
dropout	dropout	0.994002473706664
dropout	batch_norm	0.21019032638770865
dropout	fc	0.5787652416665444
batch_norm	spatio_temporal	0.9402790593860788
batch_norm	pool	0.21178785096101826
batch_norm	dropout	0.21178785096101826
batch_norm	batch_norm	0.9784538004790596
batch_norm	fc	0.11781153404063702
fc	spatio_temporal	0.01894156260991812
fc	pool	0.5794009090094822
fc	dropout	0.5794009090094822
fc	batch_norm	0.11759921300141844
fc	fc	0.972482144569041
spatio_temporal	spatio_temporal	0.980932420845996
spatio_temporal	pool	0.03627601285048331
spatio_temporal	dropout	0.03627601285048331
spatio_temporal	batch_norm	0.9296188712366543
spatio_temporal	fc	0.01812346352059744
pool	spatio_temporal	0.03635857474964914
pool	pool	0.9935553142925089
pool	dropout	0.9935553142925089
pool	batch_norm	0.21037839108353393
pool	fc	0.5686672555240483
dropout	spatio_temporal	0.03635857474964914
dropout	pool	0.9935553142925089
dropout	dropout	0.9935553142925089
dropout	batch_norm	0.21037839108353393
dropout	fc	0.5686672555240483
batch_norm	spatio_temporal	0.9439457192588224
batch_norm	pool	0.2117421041059515
batch_norm	dropout	0.2117421041059515
batch_norm	batch_norm	0.9765359011491436
batch_norm	fc	0.11596328170415235
fc	spatio_temporal	0.018855458101456828
fc	pool	0.5819037820921474
fc	dropout	0.5819037820921474
fc	batch_norm	0.11803312501458628
fc	fc	0.9698388235753239
spatio_temporal	spatio_temporal	0.9815108221765307
spatio_temporal	pool	0.03560811635973793
spatio_temporal	dropout	0.03560811635973793
spatio_temporal	batch_norm	0.9343882924028003
spatio_temporal	fc	0.01810367703958633
pool	spatio_temporal	0.03557017953349789
pool	pool	0.9930400023632694
pool	dropout	0.9930400023632694
pool	batch_norm	0.21898017390995594
pool	fc	0.5555519240436045
dropout	spatio_temporal	0.03557017953349789
dropout	pool	0.9930400023632694
dropout	dropout	0.9930400023632694
dropout	batch_norm	0.21898017390995594
dropout	fc	0.5555519240436045
batch_norm	spatio_temporal	0.9395043231976328
batch_norm	pool	0.2111031485941195
batch_norm	dropout	0.2111031485941195
batch_norm	batch_norm	0.9763083611028415
batch_norm	fc	0.11385731064585022
fc	spatio_temporal	0.018673374417574697
fc	pool	0.5786752302976969
fc	dropout	0.5786752302976969
fc	batch_norm	0.12233542369327545
fc	fc	0.968362795486352
spatio_temporal	spatio_temporal	0.9812175253437879
spatio_temporal	pool	0.03628003635016586
spatio_temporal	dropout	0.03628003635016586
spatio_temporal	batch_norm	0.9336985893740287
spatio_temporal	fc	0.01883810844552947
pool	spatio_temporal	0.037088746240181825
pool	pool	0.9939576200794579
pool	dropout	0.9939576200794579
pool	batch_norm	0.21542282299668222
pool	fc	0.5746646711399415
dropout	spatio_temporal	0.037088746240181825
dropout	pool	0.9939576200794579
dropout	dropout	0.9939576200794579
dropout	batch_norm	0.21542282299668222
dropout	fc	0.5746646711399415
batch_norm	spatio_temporal	0.9446523456084899
batch_norm	pool	0.21198355452213907
batch_norm	dropout	0.21198355452213907
batch_norm	batch_norm	0.9800117089571498
batch_norm	fc	0.11790345122668157
fc	spatio_temporal	0.019306743697840054
fc	pool	0.5705558916560085
fc	dropout	0.5705558916560085
fc	batch_norm	0.11876810357022916
fc	fc	0.9718275792769197
spatio_temporal	spatio_temporal	0.9858605786241548
spatio_temporal	pool	0.03408299270881964
spatio_temporal	dropout	0.03408299270881964
spatio_temporal	batch_norm	0.9466619779274699
spatio_temporal	fc	0.018112435606426204
pool	spatio_temporal	0.035436798741403513
pool	pool	0.9950789904617098
pool	dropout	0.9950789904617098
pool	batch_norm	0.21244791257348253
pool	fc	0.5663560580454715
dropout	spatio_temporal	0.035436798741403513
dropout	pool	0.9950789904617098
dropout	dropout	0.9950789904617098
dropout	batch_norm	0.21244791257348253
dropout	fc	0.5663560580454715
batch_norm	spatio_temporal	0.9448151165433756
batch_norm	pool	0.2153833675573441
batch_norm	dropout	0.2153833675573441
batch_norm	batch_norm	0.980638245185421
batch_norm	fc	0.11797606732124373
fc	spatio_temporal	0.018896187410065456
fc	pool	0.5714351371965832
fc	dropout	0.5714351371965832
fc	batch_norm	0.11787110021469485
fc	fc	0.9737819541390834
spatio_temporal	spatio_temporal	0.9861929136069622
spatio_temporal	pool	0.03445281721506175
spatio_temporal	dropout	0.03445281721506175
spatio_temporal	batch_norm	0.9403906529573888
spatio_temporal	fc	0.018452283283042853
pool	spatio_temporal	0.035198654447552304
pool	pool	0.9950677542744342
pool	dropout	0.9950677542744342
pool	batch_norm	0.2111017612719759
pool	fc	0.5662882113622524
dropout	spatio_temporal	0.035198654447552304
dropout	pool	0.9950677542744342
dropout	dropout	0.9950677542744342
dropout	batch_norm	0.2111017612719759
dropout	fc	0.5662882113622524
batch_norm	spatio_temporal	0.9484689442524954
batch_norm	pool	0.2158064217870351
batch_norm	dropout	0.2158064217870351
batch_norm	batch_norm	0.9805855245611504
batch_norm	fc	0.11815871362572736
fc	spatio_temporal	0.018893577805516003
fc	pool	0.5694947773379715
fc	dropout	0.5694947773379715
fc	batch_norm	0.11677851102374086
fc	fc	0.9737485894905209
spatio_temporal	spatio_temporal	0.9862700063655518
spatio_temporal	pool	0.0346129591210092
spatio_temporal	dropout	0.0346129591210092
spatio_temporal	batch_norm	0.9380094428000305
spatio_temporal	fc	0.01805539336425346
pool	spatio_temporal	0.035172140478366885
pool	pool	0.9949595347442651
pool	dropout	0.9949595347442651
pool	batch_norm	0.2071563183443301
pool	fc	0.5597999263041191
dropout	spatio_temporal	0.035172140478366885
dropout	pool	0.9949595347442651
dropout	dropout	0.9949595347442651
dropout	batch_norm	0.2071563183443301
dropout	fc	0.5597999263041191
batch_norm	spatio_temporal	0.9430689727556717
batch_norm	pool	0.21592412858014134
batch_norm	dropout	0.21592412858014134
batch_norm	batch_norm	0.9773975892199988
batch_norm	fc	0.11672799583077789
fc	spatio_temporal	0.018610824136576283
fc	pool	0.5744407269884321
fc	dropout	0.5744407269884321
fc	batch_norm	0.11503538689541538
fc	fc	0.9684037307248625
spatio_temporal	spatio_temporal	0.9855610317112521
spatio_temporal	pool	0.034687470180617484
spatio_temporal	dropout	0.034687470180617484
spatio_temporal	batch_norm	0.9404128544696077
spatio_temporal	fc	0.018063185111416424
pool	spatio_temporal	0.035753474993187456
pool	pool	0.9943744840074936
pool	dropout	0.9943744840074936
pool	batch_norm	0.20973988830624016
pool	fc	0.5823558252399645
dropout	spatio_temporal	0.035753474993187456
dropout	pool	0.9943744840074936
dropout	dropout	0.9943744840074936
dropout	batch_norm	0.20973988830624016
dropout	fc	0.5823558252399645
batch_norm	spatio_temporal	0.9437945066256945
batch_norm	pool	0.21574342423692688
batch_norm	dropout	0.21574342423692688
batch_norm	batch_norm	0.9800628611640406
batch_norm	fc	0.12072481578585219
fc	spatio_temporal	0.018906161159653035
fc	pool	0.5729777315717909
fc	dropout	0.5729777315717909
fc	batch_norm	0.116566784872559
fc	fc	0.9707804570436667
spatio_temporal	spatio_temporal	0.9846864620568951
spatio_temporal	pool	0.03468713428094215
spatio_temporal	dropout	0.03468713428094215
spatio_temporal	batch_norm	0.9334155617036015
spatio_temporal	fc	0.017993190678708304
pool	spatio_temporal	0.03587354655624888
pool	pool	0.9942041837187894
pool	dropout	0.9942041837187894
pool	batch_norm	0.2099364116631337
pool	fc	0.5729990219850545
dropout	spatio_temporal	0.03587354655624888
dropout	pool	0.9942041837187894
dropout	dropout	0.9942041837187894
dropout	batch_norm	0.2099364116631337
dropout	fc	0.5729990219850545
batch_norm	spatio_temporal	0.9472123646222639
batch_norm	pool	0.21573688083857612
batch_norm	dropout	0.21573688083857612
batch_norm	batch_norm	0.977724914360071
batch_norm	fc	0.11889607167754397
fc	spatio_temporal	0.0188446810041555
fc	pool	0.5763625407329365
fc	dropout	0.5763625407329365
fc	batch_norm	0.11715313562398605
fc	fc	0.9720825840170855
spatio_temporal	spatio_temporal	0.9875917030084334
spatio_temporal	pool	0.03408592096952628
spatio_temporal	dropout	0.03408592096952628
spatio_temporal	batch_norm	0.9396111050390634
spatio_temporal	fc	0.018076694518781813
pool	spatio_temporal	0.03515250726694601
pool	pool	0.9949138339707984
pool	dropout	0.9949138339707984
pool	batch_norm	0.21876562615944184
pool	fc	0.5598073646951051
dropout	spatio_temporal	0.03515250726694601
